source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,ship_date
EMO BON HCMR-1 Wa 210628 3um_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 3um_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 3um_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,2.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 3um_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,2.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,2.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,2.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 3um_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,3.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 3um_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,3.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,3.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210628 0.22um_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28T09:00+02:00,HCMR-1 Wa 210628,Maria Maindanou,,,1,30,3.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210917 3um_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17T10:00+02:00,HCMR-1 Wa 210917,Apostolos Kristallas,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210917 3um_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17T10:00+02:00,HCMR-1 Wa 210917,Apostolos Kristallas,,,1,30,1.5,3-200,200,3.0,Y,Jerrycan,WaSOP 1,,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
EMO BON HCMR-1 Wa 210917 3um_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17T10:00+02:00,HCMR-1 Wa 210917,Apostolos Kristallas,,,1,30,2.5,0.2-3,3,0.2,Y,Jerrycan,WaSOP 1,,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,,,,
